Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.9496E-14,2.609E-15,-0.022569,0,0,0,0.37198,0.00058404,1.3343E-12,-1.0835E-19,0.00048578,4.4752E-20,0.0010268,0,0,0,0,0,0,package://spider/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/base_link.STL,PLA,middle_plate-1;bottom_plate-1;mg996R_v2.step-7;mg996R_v2.step-10;mg996R_v2.step-1;mg996R_v2.step-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_RB_link,0.00049208,0.031159,0.031073,0,0,0,0.032853,1.7031E-05,-1.0997E-07,1.1866E-09,2.265E-05,1.5341E-07,1.7054E-05,0,0,0,0,0,0,package://spider/meshes/hip_RB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/hip_RB_link.STL,PLA,roundarm-1;connector-1;connector-2,RB_1_link,RB_1_axis,hip_RB_joint,revolute,-0.0528,0.065,0.014,3.1416,0,3.1416,base_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
knee_RB_link,0.052429,0.00095949,0.035953,0,0,0,0.12554,1.8824E-05,-9.9371E-07,5.6055E-18,7.3105E-05,-1.2525E-16,6.8262E-05,0,0,0,0,0,0,package://spider/meshes/knee_RB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/knee_RB_link.STL,PLA,bridge1-1;bridge2-1;roundarm-3;mg996R_v2.step-2;mg996R_v2.step-3,RB_2_link,RB_2_axis,knee_RB_joint,revolute,-0.031004,0.064242,0.0315,0.0077348,1.5708,0,hip_RB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
ankle_RB_link,-0.088054,0.0371,0.031328,0,0,0,0.081055,6.228E-05,5.9268E-05,-1.4399E-07,0.00017177,5.9503E-08,0.00016991,0,0,0,0,0,0,package://spider/meshes/ankle_RB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/ankle_RB_link.STL,PLA,roundarm-2;connector-3;leg-1,RB_3_link,RB_3_axis,ankle_RB_joint,revolute,0.10558,0.0019322,0,0,0,0,knee_RB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
hip_RF_link,-1.2819E-05,0.031163,0.031073,0,0,0,0.032853,1.7036E-05,-2.0093E-07,-1.299E-09,2.2645E-05,1.5341E-07,1.7054E-05,0,0,0,0,0,0,package://spider/meshes/hip_RF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/hip_RF_link.STL,PLA,connector-4;roundarm-4;connector-5,RF_1_link,RF_1_axis,hip_RF_joint,revolute,0.0528,0.065,0.014,3.1416,0,3.1416,base_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
knee_RF_link,0.052431,0.00085755,0.035953,0,0,0,0.12554,1.882E-05,-8.8817E-07,-3.8276E-18,7.3109E-05,1.1281E-16,6.8262E-05,0,0,0,0,0,0,package://spider/meshes/knee_RF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/knee_RF_link.STL,PLA,bridge2-2;bridge1-2;roundarm-6;mg996R_v2.step-5;mg996R_v2.step-6,RF_2_link,RF_2_axis,knee_RF_joint,revolute,-0.032041,0.063731,0.0315,0.0084678,1.5708,0,hip_RF_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
ankle_RF_link,-0.088026,0.037166,0.031328,0,0,0,0.081055,6.2369E-05,5.935E-05,-1.4394E-07,0.00017168,5.9611E-08,0.00016991,0,0,0,0,0,0,package://spider/meshes/ankle_RF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/ankle_RF_link.STL,PLA,roundarm-5;connector-6;leg-2,RF_3_link,RF_3_axis,ankle_RF_joint,revolute,0.10559,0.0017269,0,0,0,0,knee_RF_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
hip_LB_link,-0.00018488,0.031163,0.031073,0,0,0,0.032853,1.7039E-05,-2.3188E-07,-2.146E-09,2.2642E-05,1.534E-07,1.7054E-05,0,0,0,0,0,0,package://spider/meshes/hip_LB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/hip_LB_link.STL,PLA,roundarm-7;connector-7;connector-8,LB_1_link,LB_1_axis,hip_LB_joint,revolute,-0.0528,-0.065,0.014,3.1416,0,0,base_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
knee_LB_link,0.052437,0.00032122,0.035953,0,0,0,0.12554,1.8808E-05,-3.3272E-07,9.6567E-20,7.3122E-05,5.44E-17,6.8262E-05,0,0,0,0,0,0,package://spider/meshes/knee_LB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/knee_LB_link.STL,PLA,bridge2-3;bridge1-3;roundarm-9;mg996R_v2.step-8;mg996R_v2.step-9,LB_2_link,LB_2_axis,knee_LB_joint,revolute,-0.032392,0.063553,0.0315,0.013989,1.5708,0,hip_LB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
ankle_LB_link,-0.086202,0.04122,0.031328,0,0,0,0.081055,6.812E-05,6.4172E-05,-1.4101E-07,0.00016593,6.6241E-08,0.00016991,0,0,0,0,0,0,package://spider/meshes/ankle_LB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider/meshes/ankle_LB_link.STL,PLA,connector-9;leg-3;roundarm-8,LB_3_link,LB_3_axis,ankle_LB_joint,revolute,0.1056,0.00064686,0,0,0,0,knee_LB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
