Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.3307E-16,-9.5132E-15,-0.0025,0,0,0,0.088858,0.00011246,-1.4773E-20,-9.5488E-20,0.00017229,-1.4021E-20,0.00028438,0,0,0,0,0,0,package://spyder/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/base_link.STL,PLA,middle_plate-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_RB_link,-0.00025475,0.031162,0.031073,0,0,0,0.032853,1.704E-05,-2.4444E-07,-2.49E-09,2.2641E-05,1.5339E-07,1.7054E-05,0,0,0,0,0,0,package://spyder/meshes/hip_RB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/hip_RB_link.STL,PLA,roundarm-1;connector-1;connector-2,RB_1_link,RB_1_axis,hip_RB_joint,revolute,-0.0528,0.065,0.014,3.1416,0,3.1416,base_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
knee_RB_link,0.03519,0.038386,0.041687,0,0,0,0.062595,3.5399E-05,-2.3801E-05,-1.3249E-20,3.1256E-05,-1.4786E-20,5.7615E-05,0,0,0,0,0,0,package://spyder/meshes/knee_RB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/knee_RB_link.STL,PLA,bridge1-1;bridge2-1;roundarm-3,RB_2_link,RB_2_axis,knee_RB_joint,revolute,-0.032535,0.06348,0.0315,0.016231,1.5708,0,hip_RB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
ankle_RB_link,-0.091638,0.027064,0.031328,0,0,0,0.081055,5.052E-05,4.5682E-05,-1.4972E-07,0.00018353,4.3099E-08,0.00016991,0,0,0,0,0,0,package://spyder/meshes/ankle_RB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/ankle_RB_link.STL,PLA,roundarm-2;connector-3;leg-1,RB_3_link,RB_3_axis,ankle_RB_joint,revolute,0.07136,0.077841,0,0,0,0,knee_RB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
hip_RF_link,0.00043179,0.03116,0.031073,0,0,0,0.032853,1.7032E-05,-1.2084E-07,8.8973E-10,2.2649E-05,1.5341E-07,1.7054E-05,0,0,0,0,0,0,package://spyder/meshes/hip_RF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/hip_RF_link.STL,PLA,connector-4;roundarm-4;connector-5,RF_1_link,RF_1_axis,hip_RF_joint,revolute,0.0528000000000004,0.0649999999999906,0.014,3.14159265358979,0,3.14159265358979,base_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
knee_RF_link,0.038535,0.035025,0.041687,0,0,0,0.062595,3.1052E-05,-2.3782E-05,-7.4257E-20,3.5602E-05,-6.7396E-20,5.7615E-05,0,0,0,0,0,0,package://spyder/meshes/knee_RF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/knee_RF_link.STL,PLA,bridge2-2;bridge1-2;roundarm-6,RF_2_link,RF_2_axis,knee_RF_joint,revolute,-0.031128,0.064182,0.0315,0.0057996,1.5708,0,hip_RF_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
ankle_RF_link,-0.08502,0.043606,0.031328,0,0,0,0.081055,7.1771E-05,6.6796E-05,-1.3911E-07,0.00016227,7.0145E-08,0.00016991,0,0,0,0,0,0,package://spyder/meshes/ankle_RF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/ankle_RF_link.STL,PLA,roundarm-5;connector-6;leg-2,RF_3_link,RF_3_axis,ankle_RF_joint,revolute,0.078145,0.071027,0,0,0,0,knee_RF_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
hip_LB_link,-0.00018488,0.031163,0.031073,0,0,0,0.032853,1.7039E-05,-2.3188E-07,-2.146E-09,2.2642E-05,1.534E-07,1.7054E-05,0,0,0,0,0,0,package://spyder/meshes/hip_LB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/hip_LB_link.STL,PLA,roundarm-7;connector-7;connector-8,LB_1_link,LB_1_axis,hip_LB_joint,revolute,-0.0528,-0.065,0.014,3.1416,0,0,base_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
knee_LB_link,0.03006,0.042522,0.041687,0,0,0,0.062595,4.1296E-05,-2.2523E-05,-5.8024E-21,2.5359E-05,-7.1725E-21,5.7615E-05,0,0,0,0,0,0,package://spyder/meshes/knee_LB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/knee_LB_link.STL,PLA,bridge2-3;bridge1-3;roundarm-9,LB_2_link,LB_2_axis,knee_LB_joint,revolute,-0.032392,0.063553,0.0315,3.1276,1.5708,3.1416,hip_LB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
ankle_LB_link,-0.091638,0.027064,0.031328,0,0,0,0.081055,5.052E-05,4.5682E-05,-1.4972E-07,0.00018353,4.3099E-08,0.00016991,0,0,0,0,0,0,package://spyder/meshes/ankle_LB_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/ankle_LB_link.STL,PLA,connector-9;leg-3;roundarm-8,LB_3_link,LB_3_axis,ankle_LB_joint,revolute,0.060958,0.086229,0,0,0,0,knee_LB_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
hip_LF_link,0.0029804,0.03102,0.031073,0,0,0,0.032853,1.705E-05,3.3895E-07,1.3441E-08,2.2631E-05,1.5282E-07,1.7054E-05,0,0,0,0,0,0,package://spyder/meshes/hip_LF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/hip_LF_link.STL,PLA,connector-10;roundarm-10;connector-11,LF_1_link,LF_1_axis,hip_LF_joint,revolute,0.0528,-0.065,0.014,3.1416,0,0,base_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
knee_LF_link,0.051669,0.0064834,0.041687,0,0,0,0.062595,1.0177E-05,-5.9027E-06,-9.5643E-20,5.6478E-05,-1.2966E-20,5.7615E-05,0,0,0,0,0,0,package://spyder/meshes/knee_LF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/knee_LF_link.STL,PLA,bridge2-4;bridge1-4;roundarm-12,LF_2_link,LF_2_axis,knee_LF_joint,revolute,-0.025771,0.066514,0.0315,0.087728,1.5708,0,hip_LF_link,0,0,-1,0.922,6.16,-1.57,1.57,,,,,,,,
ankle_LF_link,-0.067225,0.067902,0.031328,0,0,0,0.081055,0.00012005,8.0624E-05,-1.1037E-07,0.00011399,1.0996E-07,0.00016991,0,0,0,0,0,0,package://spyder/meshes/ankle_LF_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spyder/meshes/ankle_LF_link.STL,,connector-12;leg-4;roundarm-11,LF_3_link,LF_3_axis,ankle_LF_joint,revolute,0.10478,0.013147,0,0,0,0,knee_LF_link,0,0,1,0.922,6.16,-1.57,1.57,,,,,,,,
